"topnav_shop_button","Shop"
"popup_game_over_victory_promt","Yay, I completed level {0} in Candy Crush Saga!"
"weekday_name_2","Tuesday"
"cutscene_ocean_introduction_mermaid_my_seahorses","My seahorses swam away from me! I can't find them!"
"weekday_name_1","Monday"
"weekday_name_4","Thursday"
"weekday_name_3","Wednesday"
"weekday_name_6","Saturday"
"popup_notification_central_life_request_header_multi","Help your friends"
"weekday_name_5","Friday"
"popup_charms_shop_box_message_CandyHardCurrencyX19","Contains gold so you can purchase items in game."
"popup_booster_wheel_last_day_title","Wasn't that sweet?"
"popup_charms_shop_box_message_CandyHardCurrencyX100","Contains gold so you can purchase items in game."
"popup_charms_shop_box_message_CandyHardCurrencyX20","Contains gold so you can purchase items in game."
"popup_charms_shop_box_message_CandyHardCurrencyX25","Contains gold so you can purchase items in game."
"preloader_loading_part6_message","Polishing"
"cutscene_polkapalooza_introduction_girl_dont_worry","Don't worry, I'll come to the rescue!"
"booster_name_CandySweetTeeth","Sweet Teeth"
"booster_description_CandyExtraMovesVariable","Start the level with 3 extra moves!"
"popup_charms_shop_daily_offer_description_message","Did you know about the daily offers?"
"popup_game_over_fail_reason_owl_mode_scale_tipped","Odus fell off the moon!"
"map_decoration_text_episode_name_episode14","Caramel Cove"
"map_decoration_text_episode_name_episode15","Sweet Surprise"
"map_decoration_text_episode_name_episode16","Crunchy Castle"
"map_decoration_text_episode_name_episode17","Chocolate Barn"
"map_decoration_text_episode_name_episode10","Wafer Wharf"
"popup_game_over_victory_button_next","Next"
"tutorial_owlModeMoonStruckIntro","Switching candy charges the Moon Scale. Fill it up completely to get a sweet surprise."
"map_decoration_text_episode_name_episode11","Gingerbread Glade"
"map_decoration_text_episode_name_episode12","Pastille Pyramid "
"tutorial_idDropDown1","Bring the cherry ingredients down to the collectors by switching the candies beneath them!"
"map_decoration_text_episode_name_episode13","Cupcake Circus"
"map_decoration_text_episode_name_episode18","Delicious Drifts"
"popup_game_over_victory_button_continue","Continue"
"tooltip_ingame_gui_dropdown_GA_DD_ingredient_1_icon","Collect hazelnuts."
"map_decoration_text_episode_name_episode19","Holiday Hut"
"popup_charms_shop_box_message_CandyCharmOfExtraLife","This charm increases your maximum lives from 5 to 8! Buy now and get a full set of lives!"
"booster_name_CandyShuffle","Shuffle"
"popup_charms_shop_box_message_CandyHardCurrencyX10","Contains gold so you can purchase items in game."
"tooltip_topnav_lifeHeart","This is how many lives you've got."
"popup_charms_shop_box_message_CandyHardCurrencyX12","Contains gold so you can purchase items in game."
"tutorial_introduceBoosterCandyExtraMoves","Click here to get 5 extra moves!"
"popup_item_unlocked_purchase_amount_CandyShuffle","3"
"game_swipe_end_lose_message_reason_lights","Remove jelly"
"cutscene_meringuemoor_introduction_pear_sigh","Sigh!"
"map_decoration_text_episode_name_episode29","Soda Swamp"
"booster_name_CandyColorRemove","Color Remover"
"map_decoration_text_episode_name_episode23","Munchy Monolith"
"map_decoration_text_episode_name_episode24","Pearly White Plains"
"cutscene_sodaswamp_introduction_croc_no_fizz","Thar is nop fizz in ma swamp ennymoé!"
"map_decoration_text_episode_name_episode21","Jelly Jungle"
"map_gift_received_icon_description","You have got a gift from a friend on this level"
"map_decoration_text_episode_name_episode28","Polkapalooza"
"tooltip_topnav_toggle_sound_on","Enable music."
"cutscene_soursalong_resolution_phantom_woopie","Woopie! That's a blip! Thanks little chirp!"
"map_decoration_text_episode_name_episode25","Fudge Islands"
"popup_charms_single_message_CandyCharmOfStripedCandy","This charm lets you paint stripes on any candy, once per game!"
"popup_game_start_next_target","Target: {0}"
"map_decoration_text_episode_name_episode26","Pudding Pagoda"
"popup_hard_currency_funny_title","Candy Crush has a swell new bank!"
"map_decoration_text_episode_name_episode20","Candy Clouds"
"booster_description_CandyExtraTimePostGame","Add {0} extra seconds of play time!"
"popup_xmas_gift_title","Buy gifts for your loved ones!"
"booster_name_CandyColorBombEightPack","Color Bomb"
"popup_pwf_add_friend","Add friend"
"popup_item_unlocked_purchase_amount_CandyColorRemove","3"
"cutscene_troll_introduction_smells_candy","Ahh, smells like candy!"
"booster_name_CandyJokerFourteenPack","Lucky Candy"
"popup_charms_shop_box_message_CandyJokerEightPack","Adds Lucky Candy to the candy mix, which will transform into useful candy when removed!"
"popup_collaboration_received_toothfairy","Your patience has been rewarded! The Tooth Fairy has a gift for you: the next episode is unlocked!"
"popup_pwf_help","Help"
"cutscene_Pyramid_introduction_stole_key","A sneaky rat stole the key."
"map_decoration_text_episode_name_episode32","Sugary Shire"
"booster_description_tipster_CandyColorBomb","Start the game with a Color Bomb!"
"map_decoration_text_episode_name_episode33","Cherry Chateau"
"map_decoration_text_episode_name_episode34","Meringue Moor"
"map_decoration_text_episode_name_episode35","Ice Cream Caves"
"map_decoration_text_episode_name_episode36","Sour Salon"
"cutscene_crunchy_castle_introduction_vampire_sick","Brrr... sniff... sniff!"
"booster_name_CandyCoconutLiquorice","Coconut Wheel"
"daily_bonus_popup_new","New"
"map_decoration_text_episode_name_episode31","Butterscotch Boulders"
"map_decoration_text_episode_name_episode30","Rainbow Runway"
"preloader_loading_part4_message","Heating oven"
"popup_game_start_game_mode_classic_moves","Score {0} points 
to complete the level!"
"cutscene_sodaswamp_introduction_girl_no_worries","No worries! Let good ole me handle this!"
"facebook_send_booster_gift_title","Give a free booster to your friend!"
"topnav_invite_button","Play with Friends"
"popup_charms_shop_box_message_CandyCharmOfStripedCandy","This charm lets you paint stripes on any candy, once per game!"
"midroll_get_rid_of_ads_button","Buy now"
"booster_name_CandyHardCurrencyX1000","1000 gold bars"
"popup_unlocked_item_description","{0}"
"popup_friend_beaten_level","at level {0}"
"popup_hard_currency_formal_title","Candy Crush has a new currency!"
"cutscene_butterscotchboulders_introduction_girl_hello","Hello Mr Train Driver! Why so upset?"
"popup_mission_header_ccs","Play Candy Crush Saga Everywhere!"
"product_header_CandyUnlockLevel3Friends","Candy Crush Level Unlock"
"popup_invite_saga_friends","Saga Friends"
"cutscene_button_skip","SKIP"
"popup_episode_complete_message","Wow, splendid days!"
"popup_notification_central_unlock_request_message","{0} wants to unlock the next episode!"
"popup_game_over_fail_reason_quit_button_pressed","You pressed
the Quit button!             "
"popup_funometer_message","How fun was this level compared to other levels?"
"booster_description_tipster_CandyHammer","Use this booster to smash items on the board!"
"cutscene_cloud_introduction_giant_i_fell","I fell from my castle and now I can't get back."
"cutscene_ocean_resolution_mermaid_they_are_back","They are back, thank you!"
"game_swipe_end_lose_message","Level failed!"
"popup_charms_shop_box_message_CandyHardCurrencyX1000","Contains gold so you can purchase items in game."
"product_description_CandyUnlockLevel1Friend","Buy your way to the next episode."
"tooltip_ingame_star_meter_friend","{0}, {1} points"
"booster_info_bubble_button_buy","Buy"
"popup_item_unlocked_purchase_amount_CandyDoubleScores","3"
"popup_charms_shop_box_message_CandyJokerFourteenPack","Adds Lucky Candy to the candy mix, which will transform into useful candy when removed!"
"booster_description_tipster_CandyBubbleGum","Use the Bubblegum Troll to stop the evil chocolate spawners."
"popup_charms_shop_gift_header","Surprise a friend with a gift!"
"product_description_CandyUnlockLevel3Friends","Buy your way to the next level."
"cutscene_Octopus_introduction_Octoboat_Broke","Sob... My Octoboat is broken!"
"preloader_loading_part5_message","Sampling candy mix"
"booster_name_CandyHardCurrencyX100","100 gold bars"
"booster_name_CandyYetiShopPack2","Lucky Times"
"popup_friend_beaten_title","Friend beaten"
"popup_videoad_message","Watch an advertisement, get a life!"
"popup_game_over_fail_reason_low_score","You failed to reach
{0} points!"
"cutscene_dragon_introduction_no_lemonade","*sob* 
The lake is out of lemonade!"
"tutorial_introduceBoosterCandyShuffle","Click here to shuffle your candies."
"cutscene_meringuemoor_introduction_pear_i_dont","I don't fit in! I want to be a candy too!"
"tutorial_introduceBoosterCandySwedishFish","Add Jelly Fish! Match to use, or combine with other special candy. Click to toggle on or off!"
"shop_push","New and improved!"
"popup_invite_select_all","Select all"
"cutscene_yeti_introduction_mr_yeti","Mr. Yeti?"
"charm_panel_icon_not_bought","Click to buy!"
"booster_name_CandyAntiPepparPostGame","Bomb Cooler"
"tutorial_owlModeIntro","Odus is balancing on the Moon Scale. Keep the candies balanced so he doesn't fall off."
"popup_collaboration_panel_title","Unlock more levels!"
"booster_name_CandyCoconutLiquoriceEighteenPack","Coconut Wheel"
"tutorial_idMovesLeft","Score {0} points before you run out of moves!"
"cutscene_witch_resolution_last","Thank you! That's bubbletastic!"
"popup_friend_passed_button_share","Share"
"popup_candy_bank_num_gold_bars","{0} Gold Bars"
"tutorial_idWorldIntroduction","Your adventure starts today! Click here to play Level 2!"
"facebook_request_collaboration_help_message","I need to unlock the next episode! Can you please help me?"
"daily_bonus_popup_todays_reward","Today's reward:"
"popup_collaboration_panel_free_amount1","x3"
"popup_collaboration_panel_free_amount2","x3"
"popup_item_unlocked_purchase_amount_CandyExtraMovesPercent","3"
"tutorial_introduceBoosterCandyAntiPeppar","Click here to add {0} to the countdown for all bombs!"
"popup_booster_wheel_banner","Once a day"
"popup_charms_shop_box_message_CandyCoconutLiquoriceEightPack","Add powerful Coconut Wheels to the candy mix!"
"popup_episode_complete_button_share","Share"
"cutscene_munchy_monolith_resolution_pinata_candy_for_all","Candy for all, thank you!"
"cutscene_jellyJungle_introduction_girl_why_scared","Why are you scared little dino?"
"popup_episode_complete_header_dreamworld","Great! You’ve completed this episode!"
"facebook_request_life_help_title","These friends can help get you an extra life!"
"popup_game_start_game_mode_balance","Gather {0} blue and {1} red candies to complete the level!"
"popup_game_over_victory_candy_collected","Candy collected:"
"popup_friend_beaten_message","Congratulations! You beat {0}!"
"cutscene_robot_introduction_bzzt_more","Bzzt... pling... more... candy..."
"cutscene_polkapalooza_introduction_rockstar_without","Without my super sparkly hair my concert will have to be canceled!"
"popup_friend_passed_level","at level {0}"
"popup_charms_single_unlocked_header_CandyCharmOfExtraLife","Charm of Life unlocked!"
"popup_lock_of_odus_description","Complete another episode in the Saga to unlock your next dream adventure."
"popup_intro_pwf_give_moves_button","Send extra moves"
"popup_charms_shop_box_header_CandyCharmOfFrozenTime","Charm of Frozen Time"
"popup_game_over_victory_button_share","Share"
"facebook_friend_beaten_share_name","I got {0} points... {1} points more than you!"
"facebook_request_collaboration_help_title","These friends can help you to the next episode!"
"popup_game_over_fail_reason_uncollected_orders","Out of moves!
You did not finish all the orders!"
"cutscene_pearlywhiteplains_introduction_girl_dont_worry","Don't worry Mrs. Tooth Fairy! I'm sure we can fix this somehow!"
"cutscene_girl_introduction_time_to_explore","Well, it's about time to go out and explore the world!"
"popup_charms_shop_secure_payment_message","SECURE PAYMENT"
"cutscene_holiday_hut_resolution_missgingerbread_thank_you","Thank you! Now I can talk again!"
"popup_episode_complete_button_ok","Continue"
"booster_name_CandyBubbleGumNinePack","Bubblegum Troll"
"endgame_swipe_info","Continue playing with the help of these boosters!"
"popup_friend_beaten_button_continue","Continue"
"cutscene_rainbowrunway_introduction_girl_hello","Hello! It's a lovely day for flying isn't it?"
"cutscene_circus_resolution_saved_us","Thank you!
You saved the day!"
"popup_hard_currency_funny_button","Get free gold"
"product_package_header","Product Package!"
"booster_info_bubble_autoRegen_desc_CandyHammer","You get {0} free Lollipop Hammers every 20 hours!
"
"popup_charms_shop_box_message_CandyHammerNinePack","Use this booster to smash items on the board!"
"booster_description_CandyAntiPepparPostGame","Click to increase the countdown of all visible bombs. It'll keep you alive for longer!"
"popup_notification_central_button_accept","Send"
"cutscene_Pyramid_resolution_thanks_candy","Thanks for the candy!
Here's the key."
"popup_intro_pwf_give_moves_header","Help your friends by sending extra moves!"
"champion_tooltip","Collect at least {2} more stars to beat {0} and become the champion of {1}."
"popup_notification_central_unlock_request_header","Help {0} out"
"booster_description_CandyBubbleGum","Remove all chocolate and stop the chocolate spawners for 5 moves."
"cutscene_cherrychateau_resolution_spoiledgirl_what_ever","Whatever!"
"popup_item_unlocked_message","Congratulations! You have unlocked a new {0}."
"game_swipe_end_lose_reason_ingredients_plural","You only need {0} more ingredients."
"tutorial_owlModeMoonStruckReached","One more move and the Moon will be full! Complete it and Odus will use his dreamy powers to help you!"
"popup_booster_wheel_last_day","We hope you enjoyed the bonus wheel!
Keep playing for more delicious surprises from Candy Crush!"
"popup_charms_single_info_header_CandyCharmOfExtraLife","Buy the Charm of Life!"
"cutscene_yeti_resolution_let_me_help","Please... let me help you!"
"game_swipe_intro_mode_light_up_header","Clear all the jelly!"
"popup_xmas_card_description","Choose a card to send to a friend."
"cutscene_bunny_introduction_stuck_in_chocolate","I am stuck in the chocolate.
Please, help me!"
"popup_game_over_loss_best_ever","Best"
"cutscene_PolkaPalace_introduction_Troll","I wish that terrible troll never showed up."
"game_swipe_intro_mode_order_header","Collect all orders!"
"preloader_error_message","An error occurred while loading"
"cutscene_pearlywhiteplains_introduction_fairy_candies_fault","This is all candy's fault!"
"popup_charms_shop_info_header","Charms Are Forever!"
"facebook_friend_beaten_share_promt","{1}, I beat your score at level {0}!"
"map_decoration_text_episode_name_episode1205","Lollipop Lanterns"
"map_decoration_text_episode_name_episode1204","Aurora Chocorealis"
"tutorial_owlModeFreezeEndGamePurchase","Now's your chance to reset the Moon Scale and freeze it for 5 moves!"
"popup_intro_pwf_give_lives_button","Send lives"
"map_decoration_text_episode_name_episode1203","Honey Hot Tub"
"booster_name_CandyStripedWrapped","Striped & Wrapped"
"map_decoration_text_episode_name_episode1202","Funky Factory"
"tooltip_ingame_gui_order_9","Collect Color Bombs."
"map_decoration_text_episode_name_episode1201","Sleepy Slopes"
"popup_xmas_card_title","Send a holiday greeting"
"popup_videoad_header","Video Ad"
"cutscene_caramel_cove_introduction_help_you","I have an idea!"
"tooltip_ingame_gui_order_5","Collect purple candies."
"tooltip_ingame_gui_order_6","Collect green candies."
"popup_item_unlocked_purchase_amount_CandyShuffleSpecial","3"
"tooltip_ingame_gui_order_7","Collect wrapped candies."
"tooltip_ingame_gui_order_8","Collect striped candies."
"tooltip_ingame_gui_order_1","Collect red candies."
"tooltip_ingame_gui_order_2","Collect blue candies."
"map_decoration_text_episode_name_episode1208","Nerdy Nebula"
"tooltip_ingame_gui_order_3","Collect yellow candies."
"map_decoration_text_episode_name_episode1207","Crazy Crossing"
"tooltip_ingame_gui_order_4","Collect orange candies."
"cutscene_caramel_cove_resolution_saved_us","Mahalo, little girl!"
"map_decoration_text_episode_name_episode1206","Twilight Egg"
"facebook_champion_of_episode_share_name","I just became {0}!"
"tutorial_owlModeFreezeScale","The Moon Scale is now frozen for 5 moves."
"tutorial_introduceBoosterCandyJoker","Add Lucky Candy! Match to use, will transform into useful candy. Click to toggle on or off!"
"game_swipe_end_win_ingredients","You collected all ingredients!"
"game_swipe_end_lose_message_a","Oh No!"
"popup_charms_shop_box_message_CandyCoconutLiquoriceFourteenPack","Add powerful Coconut Wheels to the candy mix!"
"popup_charms_shop_gift_message","Why don't you buy a wonderful charm for a friend? It is a gift that lasts forever."
"booster_name_CandyExtraMovesVariable","+3 Extra Moves"
"popup_charms_single_unlocked_header_CandyCharmOfStripedCandy","Charm of Stripes unlocked!"
"popup_lock_of_odus_button","Play on!"
"game_swipe_end_lose_message_reason_orders","Collect orders"
"popup_mission_header","A bewitching deal!"
"booster_description_tipster_CandyAntiPeppar","Click to increase the countdown of all visible bombs. It'll keep you alive for longer!"
"popup_game_over_victory_name","I just completed level {0}, scored {1} points and got {2} stars."
"cutscene_cherrychateau_introduction_girl_hi","Hi! Do you need some help?"
"cutscene_cherrychateau_introduction_spoiledgirl_you_there","You there, peasant!  Get me down at once!"
"popup_game_start_select_boosters","Select boosters:"
"cutscene_puddingpagoda_introduction_cat_help","Help! Help! Gumzilla! "
"booster_name_CandyYetiShopPack5Offer","Opening offer"
"cutscene_delicious_drifts_introduction_polarbear_sigh","Sigh!"
"popup_saga_complete_button_share","Share"
"facebook_friend_passed_share_description","Come play and see if you can catch up!"
"social_share_invite_message","Do you want to join my adventures? Try Candy Crush Saga now!"
"popup_game_over_victory_message","Congratulations!"
"popup_item_unlocked_purchase_amount_CandyComboHelper","3"
"game_swipe_intro_mode_light_up_score_header","Get {0} points and clear all the jelly to win!"
"cutscene_puddingpagoda_introduction_girl_dont_worry","Don't worry! I'll take care of him!"
"cutscene_cloud_resolution_giant_convenient","How convenient!"
"popup_item_unlocked_purchase_amount_CandyDoubleScoresSuper","3"
"cutscene_pearlywhiteplains_introduction_fairy_oh_no","Oh no my beautiful teeth! Ruined! "
"popup_xmas_card_select_friend","Select friend"
"popup_game_over_loss_button_retry","Try again"
"tooltip_pwf_button","See your friends' progress and help them out!"
"popup_game_start_level","Level {0}"
"new_episode_available","New levels available!"
"booster_description_CandyColorBomb","Start the level with a Color Bomb!"
"popup_charms_single_buy_button","Buy now"
"popup_dream_world_presentation","You have unlocked a whole new world! A dreamy wonderland with {0} new levels of Candy Crush fun!"
"cutscene_witch_introduction_can_help","I can help with that!"
"popup_funometer_button_continue","Continue"
"popup_moves_recieved_2","Do you want to send a life back?"
"popup_shop_gifts_gift_three_description","This super value bag of sweetness contains 4 boosters: Color Bomb, Bomb Cooler, Striped & wrapped plus some chomping Sweet Teeth."
"cutscene_meringuemoor_resolution_pear_wonderful","Wonderful! Thanks little girl!"
"cutscene_rainbowrunway_introduction_girl_of_course","Of course! Helping out is my speciality!"
"popup_xmas_gift_shop_back","Back"
"tooltip_popup_gamestart_target_star","You need at least {0} points to reach your target."
"cutscene_yeti_resolution_thanks","Thanks for waking me up!"
"popup_charms_shop_box_message_CandyHardCurrencyX200","Contains gold so you can purchase items in game."
"booster_name_CandyExtraTimePostGame","Extra Time"
"popup_shop_gifts_gift_one_description","This popular candy gift contains two boosters: Color Bomb and Jelly Fish "
"popup_funometer_wohoo","Wohoo!"
"tutorial_introduceBoosterCandyCoconutLiquorice","Add powerful Coconut Wheels! Switch them or combine with special candy for cool effects. Click to toggle on or off!"
"tooltip_powerup_button_locked","Can't be used in this level!"
"cutscene_delicious_drifts_resolution_girl","This takes care of that!"
"popup_item_unlocked_purchase_amount_CandySweetener","3"
"booster_name_CandyColorBomb","Color Bomb"
"popup_collaboration_received_button_ok","ok"
"popup_notification_central_message_count","{0} Requests"
"facebook_took_champion_title_form_friend_share_name","I got {0} stars in {1} and took your title!"
"popup_xmas_gift_shop","To the gift shop!"
"facebook_champion_of_episode_share_description","Click here and try to beat me!"
"popup_booster_wheel_share_jackpot_title","Amazing!"
"booster_description_CandyYetiShopPack3LargeTest2","12 Free Switches and 12 Lollipop Hammers"
"popup_booster_received_title","Booster received"
"cutscene_pearlywhiteplains_introduction_girl_nothing_wrong","Nothing wrong with candy! You just have to brush your teeth!"
"cutscene_cloud_introduction_giant_you_help_me","A tiny girl like you? Help me?!"
"popup_collaboration_panel_free_button","Get it free!"
"popup_booster_wheel_booster_not_unlocked_text","This booster will unlock at level {0}"
"booster_description_CandyYetiShopPack1LargeTest2","12 Color Bombs and 12 Jelly Fish"
"cutscene_robot_resolution_thanks","Thanks for starting me up!"
"tooltip_map_collaboration_friends","You've received help from: {0}"
"cutscene_crunchy_castle_introduction_little_girl","Poor little vampire... Sick?"
"booster_name_CandyCoconutLiquoriceNinePack","Coconut Wheel"
"popup_item_unlocked_purchase_amount_CandySweetTeeth","3"
"booster_name_CandySwedishFish","Jelly Fish"
"popup_item_unlocked_purchase_amount_CandyMarshmallow","3"
"popup_booster_wheel_share_regular_description","Tell them about the wheel!"
"facebook_request_life_help_message","I'm out of lives, could you please send me one?"
"cutscene_Pyramid_introduction_help","I think I can help you!"
"popup_charms_shop_daily_offer_message_CandyCharmOfFrozenTime","Your friends will thank you for giving them the Charm of Frozen Time!"
"popup_charms_shop_box_message_CandyFreeSwitchNinePack","Switch two candies that don't match!"
"popup_item_unlocked_purchase_amount_CandySwedishFish","3"
"cutscene_puddingpagoda_introduction_girl_whats_the_matter","What's the matter?"
"popup_intro_pwf_give_time_button","Send extra time"
"cutscene_munchy_monolith_introduction_pinata_how_are_the_kids","How will the kids get their candy now?!"
"booster_description_CandyHammer","Smash items on the board!"
"game_swipe_end_lose_header_reason_score","Out of moves!"
"facebook_took_champion_title_form_friend_share_promt","{0}, I have reached the title \"{1}\"!"
"popup_game_over_fail_reason_out_of_time","Out of time! 
You failed to reach
{0} points!"
"cutscene_meringuemoor_introduction_girl_hi","Hi, Mr. Pear! How's it hanging?"
"popup_game_over_victory_best_ever","Your best:"
"facebook_saga_complete_share_name","Far from the end...?"
"popup_funometer_boring","Boring!"
"cutscene_crunchy_castle_introduction_vampire","Yes, and now I can't go to the Halloween party... sniff!"
"game_swipe_end_lose_message_reason_score","Get {0} points"
"popup_askfriend_life_button","Send request"
"tutorial_idStriped1","Try to match 4 candies!"
"cutscene_sweet_surprise_resolution_everybody","SURPRISE!"
"tutorial_idStriped2","...to get a special candy!"
"game_swipe_intro_mode_classic_moves_header","Get {0} points
in {1} moves!"
"tutorial_idStriped3","Match it to get a line blast!"
"tutorial_idStriped4","Now, try this one!"
"popup_funometer_header","Fun-O-Meter"
"cutscene_unicorn_introduction_no_horne","Alas, what is a unicorn without a horn? 
*sniff*"
"game_swipe_end_lose_header_reason_pepper_candy","The bomb is about to explode!"
"popup_booster_received_button_ok","Ok!"
"booster_description_CandyFreeSwitch","Switch two candies that don't match!"
"cutscene_ocean_introduction_mermaid_sigh","Sigh! "
"game_order_list_header","Collect:"
"tooltip_topnav_buy_life_popup_full_life","You already have full life."
"tutorial_introduceBoosterCandyFreeSwitch","Click here to be able to switch two candies that don't match!"
"popup_candy_bank_num_gold_bar","{0} Gold Bar"
"facebook_champion_of_episode_share_promt","I'm the champion of {0}!"
"popup_booster_wheel_button","Stop Wheel"
"popup_intro_pwf_give_lives_header","Help your friends by sending lives!"
"topnav_full_life","Full"
"tutorial_explainSwitching_direction_left","Swipe this candy to the left to match 3 of the same!"
